iwa,date,pct_tasks_affected,workers_affected,wages_affected
Process animal carcasses.,2026-02-12,24.51,21493.01,839949824.79
"Load products, materials, or equipment for transportation or further processing.",2026-02-12,5.52,20769.10,890347580.35
Administer diagnostic tests to assess patient health.,2026-02-12,7.85,20750.17,1498884628.27
Advocate for individual or community needs.,2026-02-12,45.02,20636.49,1412859697.39
Investigate incidents or accidents.,2026-02-12,55.57,20555.78,1831509602.05
Research historical or social issues.,2026-02-12,89.14,20542.06,2105484116.38
Operate transportation equipment or vehicles.,2026-02-12,1.41,20272.44,1486951738.74
Assemble equipment or components.,2026-02-12,8.07,20191.18,1230020087.96
Investigate the environmental impact of industrial or development activities.,2026-02-12,18.25,19196.56,1670692771.05
"Perform athletic activities for fitness, competition, or artistic purposes.",2026-02-12,49.81,18945.14,1223333892.34
"Join parts using soldering, welding, or brazing techniques.",2026-02-12,5.59,18443.13,1152044460.93
Install energy or heating equipment.,2026-02-12,7.61,18417.30,1041193000.16
Develop research plans or methodologies.,2026-02-12,43.62,18192.63,1754538952.54
Groom or style hair.,2026-02-12,12.52,17113.03,603234296.32
Maintain vehicles in working condition.,2026-02-12,6.01,16650.42,770952916.24
Design materials or devices.,2026-02-12,51.90,16620.39,1499510821.35
Create decorative objects or parts of objects.,2026-02-12,59.74,15918.96,719232802.25
Coordinate regulatory compliance activities.,2026-02-12,14.07,15770.92,1690952211.56
Advise others on workplace health or safety issues.,2026-02-12,47.31,15491.90,1243032811.40
Fabricate devices or components.,2026-02-12,6.47,15046.45,731519801.19
Perform court-related or other legal administrative activities.,2026-02-12,11.97,14877.13,907849879.36
Serve on organizational committees.,2026-02-12,39.24,14215.33,1310796107.26
Communicate environmental or sustainability information.,2026-02-12,53.79,13898.15,1481802587.44
Apply protective solutions or coatings.,2026-02-12,3.85,13871.65,580253870.01
Monitor environmental conditions.,2026-02-12,9.94,12136.99,415551935.37
Operate agricultural or forestry equipment.,2026-02-12,1.73,12072.18,481628361.77
Develop systems or practices to mitigate or resolve environmental problems.,2026-02-12,8.21,11763.01,1228889717.76
Alter audio or video recordings.,2026-02-12,50.94,11396.85,787639944.54
Prepare industrial materials for processing or use.,2026-02-12,4.68,11279.26,591308884.41
Maintain medical equipment or instruments.,2026-02-12,4.03,11039.93,863999529.15
Operate laboratory or field equipment.,2026-02-12,18.63,9581.72,703892138.37
Evaluate production inputs or outputs.,2026-02-12,4.87,9234.25,567637303.89
"Discuss legal matters with clients, disputants, or legal professionals or staff.",2026-02-12,25.09,8589.19,1026569770.30
Direct vehicle traffic.,2026-02-12,4.25,8438.11,318334889.29
Analyze environmental or geospatial data.,2026-02-12,16.58,7733.85,700351561.89
Teach safety procedures or standards to others.,2026-02-12,41.50,7481.78,355718850.85
Direct legal activities.,2026-02-12,8.40,6968.98,435853855.74
"Clean workpieces, finished products, or other objects.",2026-02-12,3.28,6680.78,322252513.69
Research issues related to earth sciences.,2026-02-12,63.38,6674.89,569409485.85
Collect samples of products or materials.,2026-02-12,13.67,6479.37,318685811.01
"Develop safety standards, policies, or procedures.",2026-02-12,7.76,5702.87,727599112.29
Gather information for news stories.,2026-02-12,53.38,5158.31,287772564.65
Operate pumping systems or equipment.,2026-02-12,6.63,4718.62,215171650.25
Assess compliance with environmental standards or regulations.,2026-02-12,19.85,4001.41,287734268.19
Build structures.,2026-02-12,1.47,3877.39,208531873.12
Follow standard healthcare safety procedures to protect patient and staff members.,2026-02-12,13.12,3784.62,283424451.94
Install plumbing or piping equipment or systems.,2026-02-12,7.06,3678.85,156476556.06
Fabricate medical devices.,2026-02-12,5.26,3543.65,540957716.99
Fit assistive devices to patients or clients.,2026-02-12,14.15,3220.79,149960142.31
Position tools or equipment.,2026-02-12,6.81,3184.97,187063133.21
Monitor traffic conditions.,2026-02-12,3.80,2858.02,99973702.25
Develop health assessment methods or programs.,2026-02-12,2.63,2821.13,177731086.73
Adjust medical equipment to ensure adequate performance.,2026-02-12,10.59,2792.93,459594822.16
Operate cutting or grinding equipment.,2026-02-12,3.05,2701.74,114086794.15
Develop plans for managing or preserving natural resources.,2026-02-12,4.14,2652.29,335592424.57
Drill holes in earth or materials.,2026-02-12,3.73,2649.09,105362240.79
Operate energy production or distribution equipment.,2026-02-12,6.70,2482.30,230407628.75
Record images with photographic or audiovisual equipment.,2026-02-12,21.05,2417.93,135189273.80
Signal others to coordinate work activities.,2026-02-12,1.79,2126.13,92812756.18
Assemble products or work aids.,2026-02-12,0.87,2066.28,86858636.45
Develop contingency or emergency response plans.,2026-02-12,9.15,2040.48,174430119.84
Evaluate scholarly work.,2026-02-12,87.96,1838.99,143703164.65
Evaluate green technologies or processes.,2026-02-12,9.86,1677.13,162152628.82
Make legal decisions.,2026-02-12,22.26,1457.11,150823384.39
Operate construction or excavation equipment.,2026-02-12,0.91,1388.23,68217586.56
Remove workpieces from production equipment.,2026-02-12,1.66,1323.79,60873056.34
Direct security or safety activities or operations.,2026-02-12,7.43,1280.88,93591802.39
Research agricultural processes or practices.,2026-02-12,19.96,1248.55,100353460.59
Disassemble equipment.,2026-02-12,0.88,1102.42,72941935.38
Train animals.,2026-02-12,9.27,1055.84,40913788.37
Perform agricultural activities.,2026-02-12,2.70,964.15,34825202.46
Process forensic or legal evidence.,2026-02-12,10.02,809.20,75725032.50
Repair workpieces or products.,2026-02-12,1.74,665.38,33061284.43
Draft legislation or regulations.,2026-02-12,21.43,580.25,26001039.71
Sew garments or materials.,2026-02-12,1.75,536.52,21922080.38
Cut trees or other vegetation.,2026-02-12,5.25,510.47,23785093.77
Operate lifting or moving equipment.,2026-02-12,0.87,476.14,25929393.48
Manage agricultural or forestry operations.,2026-02-12,2.65,457.67,25366631.43
Record information about environmental conditions.,2026-02-12,14.43,164.20,8600565.15
Take physical measurements of patients or clients.,2026-02-12,14.50,160.86,5535276.50
Dispose of waste or debris.,2026-02-12,0.14,157.14,7721665.23
Administer emergency medical treatment.,2026-02-12,1.18,112.63,7321831.28
Test sites or materials for environmental hazards.,2026-02-12,0.07,41.21,2972219.27
Tend watercraft.,2026-02-12,0.00,0.00,0.00
Manage control systems or activities.,2026-02-12,0.00,0.00,0.00
Hunt animals.,2026-02-12,0.00,0.00,0.00
Engrave objects.,2026-02-12,0.00,0.00,0.00
Embalm corpses.,2026-02-12,0.00,0.00,0.00
Protect people or property from threats such as fires or flooding.,2026-02-12,0.00,0.00,0.00
Climb equipment or structures.,2026-02-12,0.00,0.00,0.00
Shape materials to create products.,2026-02-12,0.00,0.00,0.00
Set up protective structures or coverings near work areas.,2026-02-12,0.00,0.00,0.00
Supervise activities in correctional facilities.,2026-02-12,0.00,0.00,0.00
Smooth surfaces of objects or equipment.,2026-02-12,0.00,0.00,0.00
